INVOICE_CODE,ITEM_CODE,AMOUNT,QUANTITY
IN00013324,DOUXR,539.4,948
IN00096581,XJJUL,387.83,334
IN00015166,UBEOO,829.9,225
IN00085966,DIGIM,17.32,445
IN00058169,JJUIE,99.61,812
IN00062572,XEQOZ,932.76,379
IN00094723,WSQJT,363.18,396
IN00077285,HPXUP,309.37,355
IN00019320,BIJDE,64.88,387
IN00045218,RLYCD,469.47,760
IN00082481,JLAEW,796.82,567
IN00046079,FJGVI,399.8,977
IN00012544,LVVYF,370.68,580
IN00038942,CWULH,71.61,355
IN00018483,VXLUX,776.59,348
IN00011900,JBECX,281.85,253
IN00015888,AZTAT,919.54,946
IN00038622,ZYYYG,904.05,641
IN00092223,VDPHM,405.94,210
IN00093394,DCZAP,642.86,486
IN00037077,PSNXU,543.36,795
IN00036962,VTFCP,895.36,521
IN00068257,IWMHX,719.97,559
IN00057823,UITAO,96.49,242
IN00084583,BCAMD,179.52,928
IN00041421,VEIAH,243.55,10
IN00065038,ZQIFE,185.17,987
IN00049402,XRSKS,636.16,934
IN00081845,DSNGS,661.27,206
IN00032984,WNOAO,872.54,211
IN00020936,OLQFD,200.14,185
IN00093281,PCTCD,7.05,8
IN00049791,WULOR,305.34,375
IN00061243,ENGWS,637.24,10
IN00088490,XDFCV,321.36,334
IN00027502,NGPBN,225.2,234
IN00017503,LXBMY,999.24,648
IN00053035,HDQTD,104.11,788
IN00037185,LPODR,52.61,211
IN00083134,LQNSN,760.29,417
IN00004049,XEWUK,991.58,38
IN00008963,SODNV,732.76,55
IN00053612,UKPLA,243.31,611
IN00081075,ZPCIX,305.52,335
IN00083543,FFSAH,171.57,47
IN00094922,LXEII,519,603
IN00022812,XQWRW,670.73,416
IN00084529,DRIDB,631.66,85
IN00025264,FWLRY,931.02,812
IN00017392,AUMSD,446.52,41
IN00018520,MJUTK,688.11,211
IN00065025,DSVFE,999.96,368
IN00015286,LSLBL,904.82,764
IN00038518,SXCHO,534.82,750
IN00001692,PQKLI,900.57,949
IN00051657,DIBML,61.93,545
IN00029552,DPILP,974.48,273
IN00013644,CDGXW,65.78,307
IN00081931,FJOMJ,390.84,580
IN00014385,QRMWX,134.21,490
IN00065935,ETFIB,328.37,52
IN00086572,ZWACI,258.77,325
IN00062843,UJYXW,967.93,603
IN00065960,EDIEJ,488.8,38
IN00069451,GQOJZ,132.02,150
IN00010538,VLGKK,164.55,315
IN00085430,XBVBH,41.52,474
IN00047052,IJVIE,631.36,122
IN00000601,SVRQW,100.39,988
IN00006699,RGWBA,879.04,982
IN00049713,DLWBQ,624.61,195
IN00086304,EJBWM,948.16,15
IN00084452,GWVVO,546.71,235
IN00048056,FKJOJ,990.36,935
IN00004984,EOETC,392.67,11
IN00014598,KWHXP,220.31,462
IN00005494,BCCLA,205.5,312
IN00007266,HCXVR,176.78,160
IN00002632,GWZCJ,377.1,450
IN00004766,AVJIS,428.7,220
IN00056392,JLYPV,143.3,301
IN00014179,YFARZ,296.66,649
IN00050760,PJICB,938.07,568
IN00048735,MNIAN,330.69,309
IN00098124,GCNAW,614.23,730
IN00083364,VAPVF,419.75,609
IN00058135,IQIAD,449.48,638
IN00051503,BESSP,613.71,179
IN00003644,ARSNE,353.01,773
IN00043224,STUZQ,208.07,886
IN00045703,IOFJL,799.59,145
IN00089861,FDIJU,698.12,279
IN00028061,ULRSF,113.7,431
IN00048350,IXYIV,414.56,199
IN00099471,DEVDY,697.49,547
IN00076739,SWADN,428.01,75
IN00035149,WHSXR,539.79,223
IN00006984,IZZNG,191.3,362
IN00085531,AEUXH,666.02,56
IN00042220,FYINZ,435.64,368
IN00034588,RNAKL,81.98,680
IN00093640,JPZHQ,18.77,304
IN00004407,UYJYA,366.7,636
IN00077431,CZHBJ,148.82,400
IN00007909,BNXEY,215.48,611
IN00003485,NJRHH,957.82,821
IN00058937,FDZZI,472.52,963
IN00000339,QEZEC,220.19,175
IN00026106,AMWRM,834.37,498
IN00003184,UOXBN,319.63,483
IN00050573,XSIVN,181.43,374
IN00013137,FBWBO,197.86,774
IN00029535,PBVBL,473.75,8
IN00019959,YAEBJ,363.24,993
IN00003717,IRUNO,966.41,84
IN00056689,FPZSR,30.35,39
IN00053913,VSOEA,607.78,54
IN00065871,KXJTZ,654.25,931
IN00048993,POKVN,142.84,564
IN00094176,AVXIE,914.84,451
IN00063308,UAGER,358.93,956
IN00052583,DGWMA,506.33,675
IN00074157,VNEMC,51.05,173
IN00099313,GJRUB,495.42,158
IN00066925,UPCYV,246.54,3
IN00040255,NHVNR,547.54,949
IN00009828,PMEBF,121.48,799
IN00018527,ZIYJE,313.57,43
IN00072780,UXFDV,315.52,49
IN00050597,VGRAS,908.87,471
IN00065575,RMSRR,940.7,813
IN00026616,XUYBW,787.03,820
IN00088101,OIVTX,544.46,693
IN00024377,FIXGG,640.65,90
IN00080960,SYKXT,585.99,94
IN00073959,RIZIS,107.68,710
IN00036718,URRIR,796.66,723
IN00065440,JUQLS,84.56,494
IN00067648,AJZRW,179.96,35
IN00030095,KZRAB,881.72,700
IN00001881,QXBJJ,96.22,376
IN00064702,ONYRX,726.86,475
IN00077758,KTPNQ,432.35,781
IN00004783,NJPKP,739.05,64
IN00050185,NCJFJ,705.86,803
IN00024437,EPPJQ,430.26,569
IN00023763,FFIYU,486.45,676
IN00060867,CTISF,165.51,159
IN00013716,YPLRT,729.66,184
IN00015459,JBZKK,143.74,242
IN00054199,YNOFL,337.21,786
IN00044952,TVQRR,271.45,886
IN00077473,IXTVO,483.82,876
IN00056638,LADHM,836.83,672
IN00053541,KHXEG,744.54,431
IN00015304,MHHMQ,789.65,148
IN00089581,ZPDIM,185.98,314
IN00032207,AORMP,791.63,899
IN00023586,MJAJM,818.03,417
IN00020409,SLBKI,236.81,592
IN00019187,XVTMW,354.45,293
IN00005869,VXPKS,189.27,466
IN00082024,YNILM,772.09,201
IN00067946,PDMQK,604.92,517
IN00070794,CGUEF,222.68,908
IN00068736,JCNIK,533.8,922
IN00038517,UDQIV,740.59,908
IN00093073,MMQWG,861.01,146
IN00001792,CDKCL,427.08,406
IN00023338,WTCMI,744.44,533
IN00061566,JSRMW,466.42,356
IN00006820,TRDBQ,683.74,761
IN00059178,BVSCG,897.06,212
IN00097552,MTXQE,13.17,414
IN00069428,SYJGU,352.17,483
IN00020088,RGOSV,216.4,333
IN00010284,XXVWH,390.02,248
IN00087353,ENDFL,982.95,862
IN00069222,LPARP,952.84,452
IN00003670,JZVAS,331.81,299
IN00027201,DGSQT,402.03,830
IN00003266,NRWFV,986.63,42
IN00023431,MPQGS,772.4,411
IN00038496,NSHKM,965.32,885
IN00026014,XQYAA,880.1,753
IN00092154,IIKWB,290.73,785
IN00039133,YWAPP,192.96,558
IN00023676,AHEJP,245.97,74
IN00038336,ABXZN,619.51,818
IN00079621,BDXLA,859.17,68
IN00066216,RLSPK,263.1,6
IN00014938,XGUTS,79.75,165
IN00031221,QXTFJ,393.17,873
IN00049664,YZZWV,300.37,25
IN00077765,JCILF,257.8,446
IN00016739,ACGMM,61.72,547
IN00083221,HQSMV,358.02,879
IN00046896,EWJUW,130.03,292
IN00023555,IFMEO,258.75,633
IN00096971,JBHKR,139.31,885
IN00078059,ZAWPJ,353.33,702
IN00050361,WOVPS,355.76,675
IN00062230,TSGJD,777.2,338
IN00064229,PIMQD,697.22,630
IN00093688,LXYVM,626.07,935
IN00016466,CNDPL,208.65,156
IN00062324,QFIXW,326.92,507
IN00046419,IUWPP,943.17,652
IN00016080,QTKCP,253.06,617
IN00098868,REOUG,309.08,580
IN00008384,TFKAH,262.35,523
IN00023256,QWFRT,749.82,934
IN00088430,BDGGX,775.83,152
IN00078093,OPLHG,413.89,167
IN00067113,YIPWW,758.75,22
IN00050989,KYCUH,35.48,568
IN00012964,WXMWB,858.87,351
IN00099891,ZBAZX,735.5,91
IN00061472,PJLIF,891.35,750
IN00047655,YTZKI,633.66,931
IN00049532,HDBTV,769.2,861
IN00001054,RNGZR,914.68,936
IN00003215,NRJFM,627.43,858
IN00097170,MOTTA,913.89,598
IN00071769,SFXAH,868.99,713
IN00034317,JEJVJ,257.42,79
IN00077117,SFEFQ,928.82,705
IN00031558,RFKNA,187.05,849
IN00099248,VPQDW,361.66,45
IN00085163,RMUAK,819.97,519
IN00072922,EUFBG,343.76,65
IN00034017,JZPND,710.06,65
IN00064354,JWRAY,26.93,972
IN00039953,VLJIX,571.66,599
IN00077350,UDKZI,784.8,569
IN00098449,IBWVA,77.15,451
IN00066269,RBPDV,91.29,650
IN00003303,LZLDC,734.4,168
IN00032392,AUZFW,237.42,23
IN00052148,OURIM,148.95,906
IN00036898,CYKXE,514.07,313
IN00088514,UWJCH,793.12,156
IN00043936,USYLC,739.94,973
IN00084124,OYOLM,714.01,596
IN00056733,EEXIH,308.53,910
IN00091661,VXPAW,179.43,264
IN00046796,CIWLG,585.79,668
IN00054529,YHFSA,789.05,240
IN00077681,OHIWM,149.35,420
IN00022857,PNCBO,559.63,823
IN00045948,TOURA,190.64,668
IN00063335,GAGXU,772.89,891
IN00083819,VQKCV,557.22,135
IN00094240,UIIRP,163.38,447
IN00062378,LLJIF,338.86,966
IN00096633,ASFHJ,739.75,28
IN00044040,SJDDA,415.71,587
IN00010484,NFGZL,611.05,203
IN00001546,SRJHU,281.67,946
IN00066955,SZCMI,666.83,947
IN00095769,KADIJ,589.36,426
IN00080273,ECBGC,149.94,153
IN00024758,KSJSB,88.21,234
IN00061438,ELREL,180.04,164
IN00054157,ZXWEE,997.56,637
IN00097473,KGKSR,458.48,512
IN00058810,CXYXW,28.67,520
IN00060417,QNHXU,763.95,849
IN00087010,VIMXB,37.8,84
IN00049453,ZDAUG,316.51,663
IN00030805,TWZIB,194.81,127
IN00082248,GSOQO,549.14,216
IN00093048,BMQYL,161.16,509
IN00057696,GBPOB,499.16,33
IN00076558,CRHFN,177.15,323
IN00066111,LWOJK,379.4,631
IN00035182,PGJHI,479.21,137
IN00016857,PVJWP,803.32,281
IN00005046,ROETH,322.86,536
IN00062052,KYFYN,555.9,969
IN00065684,YAPEL,856.66,703
IN00076529,JIFEP,405.03,503
IN00095193,JRXBR,212.69,333
IN00072038,EPFKY,30.06,891
IN00086749,KWTXY,495.57,488
IN00077421,MUSVL,246.04,747
IN00020008,QEJYY,432.29,42
IN00036034,GYPIF,501.32,664
IN00066956,KAJUJ,853.1,901
IN00003928,KNZEX,628.59,706
IN00084122,IFUKR,171.45,300
IN00037448,LJIPT,36.75,72
IN00032621,CLZAM,635.59,446
IN00030459,TWKHU,586.65,38
IN00076795,DQZCM,448.15,645
IN00038438,QQEWW,858.61,581
IN00030980,ISFEG,133.59,4
IN00069555,DWSAG,536.91,914
IN00030835,OWUGO,755.48,17
IN00009649,YWPLC,856.73,162
IN00088617,JVMRD,963.59,750
IN00023886,BSJJU,422.34,116
IN00036191,UXXAC,278.29,811
IN00033821,QVHMJ,516.54,245
IN00052584,TZSGO,26.95,254
IN00066628,YHOSG,569.5,306
IN00020280,UPOJF,575.46,455
IN00021837,GJVKH,576.17,960
IN00002442,KATTZ,115.24,937
IN00031055,AHZTV,100.7,27
IN00041347,RPEZD,265.06,515
IN00058426,OULEX,733.68,458
IN00025734,HTQVL,489.36,347
IN00018734,FLKMY,422.44,194
IN00037494,RINHJ,128.58,496
IN00051529,CNPFJ,631.73,565
IN00010395,ZSFLZ,153.01,619
IN00018794,SDVPK,308.67,318
IN00064042,VNMFC,731.3,195
IN00095160,HYNKC,968.2,654
IN00003635,LLLOQ,948.13,784
IN00077930,PTCXW,731.81,244
IN00015490,UMZRN,403.63,441
IN00047416,DHQNL,697.92,233
IN00023377,KDALB,560.05,1
IN00087031,VMHNH,903.85,140
IN00055833,BMYDC,91.64,946
IN00070193,FXIST,268.99,659
IN00063836,UUDQF,915.25,371
IN00078950,HHTMO,731.61,576
IN00098951,OTDYH,708.07,821
IN00036823,UCAPF,174.9,289
IN00019888,VMKHR,769.16,220
IN00061484,BMMNU,928.47,16
IN00045745,XWTMC,499.19,153
IN00057769,GWOVY,46.8,873
IN00029669,LRUWL,429.51,641
IN00082563,CEUAB,852.72,824
IN00058100,TSNJP,705.95,181
IN00046541,IMWCY,77.01,742
IN00089653,BGTOC,79.92,120
IN00081301,NPHWZ,95.41,361
IN00096733,CCHMN,540.87,126
IN00091103,NWUSY,189.85,444
IN00055574,QFDXZ,402.84,57
IN00006608,KBANT,534.7,223
IN00002237,YZJQI,245.43,913
IN00074758,UAKVE,943.73,486
IN00021980,CNESA,178.64,414
IN00025822,WANXW,938.13,206
IN00067628,IYTYV,13.97,858
IN00046431,OBDHJ,763.98,805
IN00051203,DBEVZ,550.75,822
IN00077780,GQCGN,663.79,850
IN00000934,CKEQL,46.72,646
IN00061731,UPBRA,251.01,129
IN00001725,LZBYA,567.65,157
IN00063498,LRRMP,165.53,458
IN00038119,KTNYZ,864.86,601
IN00094725,AEMSB,85.44,8
IN00079840,JPTAG,462.67,191
IN00085713,YMHNY,742.66,416
IN00019869,LBVZB,704.99,83
IN00028494,GRFWI,297.6,814
IN00067491,ZPRRT,373.29,991
IN00029209,LGYLH,288.08,901
IN00012455,PAYIV,445.22,28
IN00052388,TBQSB,306.46,613
IN00037009,WPTTN,52.23,397
IN00028317,BZUOA,34.75,616
IN00087293,MDLQI,971.96,389
IN00086670,TMBCH,470.58,225
IN00025100,DZWXB,830.57,213
IN00089271,JXNUU,816.92,572
IN00089524,KJRZX,544.55,696
IN00054738,FEWHT,682.57,370
IN00064154,WUABK,746.99,441
IN00073517,VMBUU,713.1,419
IN00049748,YGMVN,563.39,195
IN00071203,NWXXS,578.1,45
IN00028258,TNLMQ,891.19,985
IN00093505,LGQRG,145.57,538
IN00014184,SZNAG,156.39,899
IN00089332,MEHMQ,643.86,683
IN00022426,MGMVZ,822.55,964
IN00068352,XULSF,50.6,33
IN00032345,JEAFP,710.53,717
IN00062951,XWDBX,698.87,150
IN00089069,DLWPQ,675.77,339
IN00008241,ILLZU,349.65,606
IN00039706,UUMKD,311.32,440
IN00064638,GMNND,992.07,100
IN00016325,HKUKQ,703.97,551
IN00035290,KWBUR,494.29,215
IN00098160,PZKIG,967.49,197
IN00084614,XPTFF,809.83,454
IN00019580,PQBHM,123.64,687
IN00077315,HLFDV,761.29,64
IN00003034,MQVSZ,871.48,571
IN00015828,YKOZC,215.25,882
IN00066598,NDIRY,245.73,857
IN00097524,AYTHN,749.56,775
IN00045047,ERDVW,563.87,238
IN00060145,OMWMN,316.07,507
IN00059050,HMIMB,882.07,988
IN00008466,ORRQA,480.21,996
IN00016104,BBNUV,662.55,683
IN00075696,ONWQZ,868.87,534
IN00067844,RFDNA,594.39,419
IN00010316,YKMZV,565.72,900
IN00011408,DQUOL,613.72,918
IN00014467,BUJLZ,715.66,513
IN00012452,XTMUH,903.54,158
IN00053590,XVBKC,688.97,934
IN00087633,KWKAQ,637.2,199
IN00019644,DKBPO,264.18,948
IN00085074,OKIEG,273.7,476
IN00083301,VQJEO,71.47,196
IN00086542,CQKOG,952.92,876
IN00008777,WVHTO,853.01,591
IN00010407,HWZHI,645.73,15
IN00023607,QSZSR,525.02,741
IN00045086,LCARX,887,264
IN00089895,XBOHU,675.66,406
IN00072588,UHTYQ,378.7,127
IN00024329,TPRNT,452.17,696
IN00042786,QKJRM,554.34,580
IN00056893,DBMPZ,226.58,718
IN00069610,KAVUF,894.95,54
IN00065591,KGQBH,174.22,914
IN00065661,WUURY,421.33,984
IN00035486,HEXQE,54.7,40
IN00076551,ZKTLE,377.8,248
IN00011539,LJOZA,822.51,994
IN00082879,OIFHW,506.73,869
IN00061001,PFGNF,343.51,810
IN00078271,JOZKA,682.48,308
IN00092248,MQSKT,589.56,950
IN00099390,TABRL,199.68,752
IN00043551,FAMSS,683.52,112
IN00038054,CPIQN,271.87,546
IN00019741,UPAIB,52.5,783
IN00094302,SHCIH,839.62,176
IN00089279,QSNPS,853.85,820
IN00036197,CVUBO,55.46,209
IN00036490,RPOPU,186.82,305
IN00048928,OIYBU,718.75,452
IN00047687,ATNTZ,126.97,11
IN00063545,UYWYW,692.35,808
IN00005982,VBLBA,841.02,248
IN00072737,ADSER,680.33,842
IN00047269,EJEWU,731.62,292
IN00078191,QNJOC,842.52,706
IN00005120,FBNDA,639.76,681
IN00038305,PHGTG,268.17,647
IN00037928,MWQZI,637.19,756
IN00040479,VHRYQ,703.02,436
IN00066606,VVFZQ,47.03,957
IN00099704,SVXJM,347.68,1
IN00070300,RTKIA,476.3,556
IN00014825,PKBJS,805.66,886
IN00006263,BFJOT,743.82,53
IN00054525,XTCXV,502.71,300
IN00077238,QQUGF,588.89,361
IN00047363,DJAGZ,366.41,235
IN00081634,DOEPF,302.63,501
IN00051720,XVVUW,749.25,317
IN00045036,KNCPM,728.89,158
IN00075213,HDZHW,980.11,12
IN00018362,NLYPR,405.17,92
IN00041667,ROZYH,264.31,525
IN00037472,VMLXF,586.81,132
IN00072164,SQKHA,773.46,150
IN00078499,EPILW,49.55,910
IN00016301,TSBVA,41.1,686
IN00039215,MDJOY,886.41,345
IN00080318,SULMK,590.51,408
IN00090409,SSPST,521.68,55
IN00082926,XNPTT,923.17,890
IN00008576,NPFOM,1.92,674
IN00024537,EZWSD,991.58,843
IN00034547,OJVXT,454.3,100
IN00028086,CEKZF,576.07,283
IN00003592,ZJQAJ,889.02,97
IN00060840,RESCU,923.56,805
IN00014301,VQSCG,207.64,25
IN00027404,HYPNB,201.51,482
IN00008986,KTQUI,274.5,539
IN00083439,USTFU,18.57,37
IN00083964,EMGHQ,961.2,740
IN00057927,FSQUT,380.34,120
IN00062339,HQUQO,750.77,501
IN00079965,URKDS,810.83,928
IN00047277,ACVOK,148.21,128
IN00021551,JTSCP,524.85,510
IN00015596,HJTLN,766.44,869
IN00043659,AXGPE,676.94,42
IN00053072,ZZXAK,655.16,878
IN00016558,AWMUA,871.44,47
IN00031239,NXPWX,128.67,489
IN00086578,KDDSZ,582.98,22
IN00002205,FIMPK,507.5,647
IN00090788,ELBZO,115.92,376
IN00018720,ZDHMC,941.11,810
IN00066055,LDBDA,684.35,340
IN00045198,QRJMG,900.58,984
IN00069069,NPZUP,843.18,998
IN00036720,EHTRG,843.93,654
IN00087881,KUBAI,677.17,811
IN00026394,VYIHP,498.29,197
IN00081275,YOGCI,305.46,32
IN00094275,VODNA,710.62,708
IN00045094,XOPNY,983.41,724
IN00092246,BOPHM,478.11,995
IN00059823,YKIBP,236.85,145
IN00044411,STZKE,849.61,51
IN00006023,MYDGF,554.63,561
IN00005690,OFIPB,395.47,89
IN00081201,OBLNH,788.23,807
IN00014636,XTUTQ,35.68,55
IN00003136,XOFLE,74.12,988
IN00057510,UGMYH,111.15,844
IN00024460,TYPVR,858.12,920
IN00073847,FXEOW,331.25,415
IN00070365,MGQKW,602.2,241
IN00005329,EUUYC,174.2,320
IN00017191,MEMWG,658.6,912
IN00071284,SRONG,23.09,323
IN00070777,FYFNB,274.31,26
IN00021778,AWGFG,344.24,600
IN00072198,DBUIY,489.3,565
IN00079166,OZZRV,893.15,99
IN00054215,TSVAW,622.22,905
IN00030672,QCRNV,205.94,687
IN00021461,NTFJB,395.26,592
IN00094121,EQXMI,829.09,824
IN00055714,QHOJW,120.54,545
IN00025741,UKYSX,428.25,888
IN00044462,LTLUN,620.35,667
IN00042850,LUOIC,371.94,758
IN00015646,QEJFX,949.32,261
IN00081480,XJJTO,650.87,528
IN00027895,YKBSL,789.7,99
IN00061748,DTWTZ,647.45,297
IN00076233,MVJEG,49.12,509
IN00039485,JDWLT,318.12,767
IN00094521,RCOUU,477.04,887
IN00047018,YZQXM,982.76,880
IN00039440,IMSCV,579.08,95
IN00011702,CNTHY,449.08,190
IN00067743,AIDJQ,987.66,848
IN00078609,RGWRM,323.83,796
IN00013412,KIVLW,915.75,18
IN00018818,GBVDN,858.28,12
IN00059679,MUUQY,14.59,378
IN00016506,MTGQB,544.11,923
IN00075851,VVZEC,674.82,490
IN00069857,QWBGF,103.85,240
IN00091485,SJWET,638.3,913
IN00033234,EWGDF,554.54,501
IN00069212,DCVXN,826.46,377
IN00078342,SSCKL,702.71,714
IN00025873,GYRDZ,158.77,855
IN00040941,QSETI,252.16,338
IN00091419,RUESV,185.72,720
IN00028782,AQYGS,664.24,651
IN00085206,ICKYO,385.82,449
IN00002998,FVTIW,932.52,199
IN00085576,FAVGF,729.02,12
IN00031008,ILVMH,910,550
IN00034408,EHADW,951.11,491
IN00020231,VXCTE,89.47,61
IN00036987,AADXO,361.36,394
IN00024861,LBMED,408.7,399
IN00019592,EUDBW,938.49,969
IN00050404,FCTFB,294.32,438
IN00089276,IHKMG,464.48,413
IN00020331,BFUIE,447.98,732
IN00029322,OXWFK,121.01,778
IN00025448,RPODN,919.04,857
IN00005536,XMJUI,474.41,227
IN00057563,KSMFQ,857.78,588
IN00099065,SJFFF,697.95,30
IN00087929,NZZQT,966.8,406
IN00027580,SQKPK,579.17,425
IN00048563,XDPSE,215.92,594
IN00029277,WNTGG,482.28,166
IN00010634,JMVIB,945.91,839
IN00045938,ZJGEZ,555.94,427
IN00002674,DXHIH,689.55,188
IN00011615,JRFQV,951.58,669
IN00012207,JMHTP,435.99,858
IN00041529,FQHHA,984.78,258
IN00046962,QJMSP,7.01,773
IN00060764,BGTOE,638.64,178
IN00078132,GDMII,102.62,880
IN00056702,BDLLW,485.21,749
IN00087599,TZLPG,610.09,418
IN00010828,RVHTE,609.7,476
IN00093503,OTBKI,77.17,416
IN00053337,BHKSW,336.87,487
IN00036231,MEPDP,513.69,148
IN00033541,GBWGB,268.69,20
IN00086308,VBKYF,446.74,22
IN00070249,KLANV,802.71,54
IN00012308,MCSRH,583.58,178
IN00020355,LRNSA,433.44,667
IN00063691,RPNZD,995.59,682
IN00074474,CQVRL,409.46,396
IN00079854,QEAAI,445.06,550
IN00049393,QYELM,110.11,630
IN00086778,OQVTW,491.04,746
IN00085086,DBDYG,461.57,223
IN00038490,AJRJC,120.62,586
IN00019764,HIRZT,37.09,885
IN00049965,KLHYQ,304.51,489
IN00098896,WVXDK,963.58,6
IN00085689,DRPGJ,556.97,816
IN00071128,BWNUU,592.49,565
IN00023255,MKFMM,799.51,534
IN00076627,OUXSX,896.11,202
IN00064176,DANWL,865.72,964
IN00090351,PGGXD,545.9,532
IN00052614,ECWGA,471.37,181
IN00099982,AQKHM,533.84,659
IN00091950,CTYVF,688.31,703
IN00015267,YUHPA,99.97,520
IN00082244,ZSIGL,978.78,978
IN00023010,YZHUI,547.7,110
IN00029379,VYCCT,93.71,625
IN00014412,TQCFW,540.88,373
IN00040462,GDRFU,252.29,714
IN00048728,PGRZM,62.06,67
IN00091727,MPTUD,568.06,190
IN00049799,ZQGYE,547.64,899
IN00074653,PPHYL,746.2,835
IN00099336,JMTUD,94.66,211
IN00015793,WNJJN,551.55,240
IN00032537,FULHA,479.93,55
IN00016221,SVTVA,41.57,461
IN00044173,EMWIV,600.72,570
IN00030511,FQFYN,338.68,239
IN00062934,SFHJN,549.54,922
IN00064194,PJZXK,386.11,847
IN00089709,LLLTV,42.27,444
IN00004739,ZXFEK,659.59,670
IN00089720,MTNDM,294.58,374
IN00076287,DXRDS,893.45,983
IN00067294,MYMEV,647.89,180
IN00053236,DZOTX,601.32,805
IN00016299,XPCOT,212.48,451
IN00095401,NUVHN,403.22,511
IN00095641,TKMAU,55.82,824
IN00083047,MHEWT,739.25,674
IN00086140,XDAKV,690.95,272
IN00093296,QRAXI,297.97,50
IN00026017,VAFVQ,804.04,103
IN00021439,EWKDS,974.33,704
IN00032028,DRXFO,554.65,645
IN00099739,XMRIO,601.49,402
IN00098691,IBVYO,463.43,697
IN00046590,UMAKI,911.35,143
IN00010697,RWOUZ,259.36,743
IN00001785,QMWBO,709.27,472
IN00081168,IERXE,989.01,467
IN00002257,AMFOF,460.82,18
IN00095899,ZFWSZ,802.01,58
IN00019622,KCJNQ,444.05,81
IN00067393,XODWD,527.09,312
IN00008547,XHFVQ,490.39,190
IN00055077,BNOUR,787.1,265
IN00037510,OBMBU,143.88,758
IN00028993,EWYTG,679.26,778
IN00091986,GPGYI,269.18,363
IN00035655,VRILN,98.74,304
IN00088485,BYNQJ,410.28,86
IN00084861,FXLXF,297.54,21
IN00004796,FKAIE,656.42,82
IN00005926,WBQEM,242.13,891
IN00085470,SGFKC,127.33,576
IN00057690,JYAEN,794.8,959
IN00066994,MNRSQ,182.34,48
IN00049142,OMXGW,513.46,836
IN00091589,ITREX,864.78,444
IN00073153,MCGUY,73.3,983
IN00000882,TJPFE,368.76,341
IN00043583,VPWHU,737.1,90
IN00003321,XAKQU,984.66,539
IN00064443,GSICA,250.18,794
IN00012837,BWHPM,140.19,27
IN00010475,EGKRL,711.42,555
IN00026543,RAEBZ,688.37,910
IN00057617,HMPBW,799.49,347
IN00040989,SJNOG,420.1,167
IN00003189,XBMRN,22.13,147
IN00075244,WSNEZ,564.54,258
IN00027193,EFSTO,907.24,748
IN00064680,CXCVZ,928.55,238
IN00016688,HKIXB,850.58,473
IN00086125,IBVXT,667.98,621
IN00028829,EPNNB,247.79,763
IN00035168,FFVPK,51.3,910
IN00001009,DHHTT,297.61,181
IN00089806,WVEEW,287.3,656
IN00078011,CJCCW,337.33,331
IN00031234,PINZS,103.89,409
IN00097396,SQYGP,121.12,304
IN00066562,VCKII,608.09,15
IN00007332,GRNLH,183.03,863
IN00031552,XEXAI,320.58,996
IN00062188,VPVQS,561.22,560
IN00012332,AHPRD,907.24,767
IN00013793,XLMIY,963.24,609
IN00080489,PKMOF,96.29,784
IN00016648,NDCRG,399.44,373
IN00018421,ZKBYU,373.26,877
IN00047557,YTZBS,52.69,885
IN00045727,OFBYM,383.59,27
IN00033353,DPFUF,399.49,666
IN00099090,FLBYD,767.47,277
IN00013258,XXNIB,393.28,37
IN00055091,YQALA,941.74,300
IN00043220,ETOSQ,958.45,944
IN00087606,GQAEM,7.17,688
IN00063573,ZXRKZ,13.05,411
IN00043610,WQASW,556.09,322
IN00066016,YMJBW,608.5,778
IN00019488,HCWUP,194.88,2
IN00020632,BNCPZ,578.78,324
IN00093964,WJBID,286.69,349
IN00094001,NVRUF,758.3,360
IN00060272,YLAFV,402.38,125
IN00093898,QTGUN,762.46,978
IN00078334,MGSXM,616.13,894
IN00057644,NYKTR,725.83,183
IN00047787,MEVQM,637.98,102
IN00062467,LTIIL,779.92,578
IN00080050,WPAUM,559.04,841
IN00017447,UFSIS,68.27,322
IN00033059,HLZSM,436.4,490
IN00026886,WAAOG,309.09,334
IN00002521,YSSHF,675.69,973
IN00059975,GYRSN,487.18,810
IN00001067,NUZUE,312.81,1
IN00046981,OFWBB,929.83,825
IN00013644,MKFOM,14.25,847
IN00012292,BJIMK,509.56,625
IN00069184,VKLKX,571.88,760
IN00051873,VLRHL,463.39,582
IN00093774,TKQZE,125.75,450
IN00070774,AVIYQ,849.88,588
IN00017389,GWDKB,65.8,873
IN00085822,OUHSX,178.51,566
IN00064916,YIGGA,489.72,325
IN00092381,ZCUQA,822.41,648
IN00045458,LKCQG,980.95,741
IN00098631,KINFH,422.16,704
IN00060379,VNLHB,791.46,121
IN00084332,YVFVZ,819.64,61
IN00011183,UNKIU,733.99,433
IN00067852,MWNWJ,164.4,351
IN00066407,VPSSP,368.89,863
IN00070333,ESTXW,229.07,563
IN00072024,HDCGS,692.67,683
IN00023225,JLVKM,48.17,300
IN00027604,JARNY,385.3,709
IN00002970,SEWTB,551.93,297
IN00016911,VACIH,114.31,579
IN00009654,GKIUT,924.35,676
IN00020732,WAZGY,35.97,711
IN00011330,AEULM,107.11,235
IN00039288,CHDPG,325.97,452
IN00002814,GJEOT,279.81,438
IN00002518,YIVWD,976.98,666
IN00023258,LGTFY,326.07,643
